poi_id,item_id,price,service_time_min,availability_status
P001,I001,,,typical_assortment_unverified
P001,I002,,,typical_assortment_unverified
P001,I003,,,typical_assortment_unverified
P001,I004,,,typical_assortment_unverified
P001,I008,,,typical_assortment_unverified
P001,I009,,,typical_assortment_unverified
P001,I010,,,typical_assortment_unverified
P001,I011,,,typical_assortment_unverified
P001,I013,,,typical_assortment_unverified
P001,I014,,,typical_assortment_unverified
P001,I015,,,typical_assortment_unverified
P001,I017,,,typical_assortment_unverified
P001,I021,,,typical_assortment_unverified
P001,I022,,,typical_assortment_unverified
P001,I023,,,typical_assortment_unverified
P001,I024,,,typical_assortment_unverified
P001,I025,,,typical_assortment_unverified
P001,I027,,,typical_assortment_unverified
P001,I028,,,typical_assortment_unverified
P001,I029,,,typical_assortment_unverified
P001,I030,,,typical_assortment_unverified
P001,I031,,,typical_assortment_unverified
P002,I001,,,typical_assortment_unverified
P002,I002,,,typical_assortment_unverified
P002,I003,,,typical_assortment_unverified
P002,I004,,,typical_assortment_unverified
P002,I008,,,typical_assortment_unverified
P002,I009,,,typical_assortment_unverified
P002,I010,,,typical_assortment_unverified
P002,I011,,,typical_assortment_unverified
P002,I013,,,typical_assortment_unverified
P002,I014,,,typical_assortment_unverified
P002,I015,,,typical_assortment_unverified
P002,I017,,,typical_assortment_unverified
P002,I021,,,typical_assortment_unverified
P002,I022,,,typical_assortment_unverified
P002,I023,,,typical_assortment_unverified
P002,I024,,,typical_assortment_unverified
P002,I025,,,typical_assortment_unverified
P002,I027,,,typical_assortment_unverified
P002,I028,,,typical_assortment_unverified
P002,I029,,,typical_assortment_unverified
P002,I030,,,typical_assortment_unverified
P002,I031,,,typical_assortment_unverified
P003,I001,,,typical_assortment_unverified
P003,I002,,,typical_assortment_unverified
P003,I003,,,typical_assortment_unverified
P003,I004,,,typical_assortment_unverified
P003,I008,,,typical_assortment_unverified
P003,I009,,,typical_assortment_unverified
P003,I010,,,typical_assortment_unverified
P003,I011,,,typical_assortment_unverified
P003,I013,,,typical_assortment_unverified
P003,I014,,,typical_assortment_unverified
P003,I015,,,typical_assortment_unverified
P003,I017,,,typical_assortment_unverified
P003,I021,,,typical_assortment_unverified
P003,I022,,,typical_assortment_unverified
P003,I023,,,typical_assortment_unverified
P003,I024,,,typical_assortment_unverified
P003,I025,,,typical_assortment_unverified
P003,I027,,,typical_assortment_unverified
P003,I028,,,typical_assortment_unverified
P003,I029,,,typical_assortment_unverified
P003,I030,,,typical_assortment_unverified
P003,I031,,,typical_assortment_unverified
P004,I001,,,typical_assortment_unverified
P004,I002,,,typical_assortment_unverified
P004,I003,,,typical_assortment_unverified
P004,I004,,,typical_assortment_unverified
P004,I008,,,typical_assortment_unverified
P004,I009,,,typical_assortment_unverified
P004,I010,,,typical_assortment_unverified
P004,I011,,,typical_assortment_unverified
P004,I013,,,typical_assortment_unverified
P004,I014,,,typical_assortment_unverified
P004,I015,,,typical_assortment_unverified
P004,I017,,,typical_assortment_unverified
P004,I021,,,typical_assortment_unverified
P004,I022,,,typical_assortment_unverified
P004,I023,,,typical_assortment_unverified
P004,I024,,,typical_assortment_unverified
P004,I025,,,typical_assortment_unverified
P004,I027,,,typical_assortment_unverified
P004,I028,,,typical_assortment_unverified
P004,I029,,,typical_assortment_unverified
P004,I030,,,typical_assortment_unverified
P004,I031,,,typical_assortment_unverified
P005,I001,,,typical_assortment_unverified
P005,I002,,,typical_assortment_unverified
P005,I003,,,typical_assortment_unverified
P005,I004,,,typical_assortment_unverified
P005,I008,,,typical_assortment_unverified
P005,I009,,,typical_assortment_unverified
P005,I010,,,typical_assortment_unverified
P005,I011,,,typical_assortment_unverified
P005,I013,,,typical_assortment_unverified
P005,I014,,,typical_assortment_unverified
P005,I015,,,typical_assortment_unverified
P005,I017,,,typical_assortment_unverified
P005,I021,,,typical_assortment_unverified
P005,I022,,,typical_assortment_unverified
P005,I023,,,typical_assortment_unverified
P005,I024,,,typical_assortment_unverified
P005,I025,,,typical_assortment_unverified
P005,I027,,,typical_assortment_unverified
P005,I028,,,typical_assortment_unverified
P005,I029,,,typical_assortment_unverified
P005,I030,,,typical_assortment_unverified
P005,I031,,,typical_assortment_unverified
P006,I001,,,typical_assortment_unverified
P006,I002,,,typical_assortment_unverified
P006,I003,,,typical_assortment_unverified
P006,I004,,,typical_assortment_unverified
P006,I008,,,typical_assortment_unverified
P006,I009,,,typical_assortment_unverified
P006,I010,,,typical_assortment_unverified
P006,I011,,,typical_assortment_unverified
P006,I013,,,typical_assortment_unverified
P006,I014,,,typical_assortment_unverified
P006,I015,,,typical_assortment_unverified
P006,I017,,,typical_assortment_unverified
P006,I021,,,typical_assortment_unverified
P006,I022,,,typical_assortment_unverified
P006,I023,,,typical_assortment_unverified
P006,I024,,,typical_assortment_unverified
P006,I025,,,typical_assortment_unverified
P006,I027,,,typical_assortment_unverified
P006,I028,,,typical_assortment_unverified
P006,I029,,,typical_assortment_unverified
P006,I030,,,typical_assortment_unverified
P006,I031,,,typical_assortment_unverified
P007,I001,,,typical_assortment_unverified
P007,I002,,,typical_assortment_unverified
P007,I003,,,typical_assortment_unverified
P007,I004,,,typical_assortment_unverified
P007,I008,,,typical_assortment_unverified
P007,I009,,,typical_assortment_unverified
P007,I010,,,typical_assortment_unverified
P007,I011,,,typical_assortment_unverified
P007,I013,,,typical_assortment_unverified
P007,I014,,,typical_assortment_unverified
P007,I015,,,typical_assortment_unverified
P007,I017,,,typical_assortment_unverified
P007,I021,,,typical_assortment_unverified
P007,I022,,,typical_assortment_unverified
P007,I023,,,typical_assortment_unverified
P007,I024,,,typical_assortment_unverified
P007,I025,,,typical_assortment_unverified
P007,I027,,,typical_assortment_unverified
P007,I028,,,typical_assortment_unverified
P007,I029,,,typical_assortment_unverified
P007,I030,,,typical_assortment_unverified
P007,I031,,,typical_assortment_unverified
P008,I001,,,typical_assortment_unverified
P008,I002,,,typical_assortment_unverified
P008,I003,,,typical_assortment_unverified
P008,I004,,,typical_assortment_unverified
P008,I008,,,typical_assortment_unverified
P008,I009,,,typical_assortment_unverified
P008,I010,,,typical_assortment_unverified
P008,I011,,,typical_assortment_unverified
P008,I013,,,typical_assortment_unverified
P008,I014,,,typical_assortment_unverified
P008,I015,,,typical_assortment_unverified
P008,I017,,,typical_assortment_unverified
P008,I021,,,typical_assortment_unverified
P008,I022,,,typical_assortment_unverified
P008,I023,,,typical_assortment_unverified
P008,I024,,,typical_assortment_unverified
P008,I025,,,typical_assortment_unverified
P008,I027,,,typical_assortment_unverified
P008,I028,,,typical_assortment_unverified
P008,I029,,,typical_assortment_unverified
P008,I030,,,typical_assortment_unverified
P008,I031,,,typical_assortment_unverified
P009,I001,,,typical_assortment_unverified
P009,I002,,,typical_assortment_unverified
P009,I003,,,typical_assortment_unverified
P009,I004,,,typical_assortment_unverified
P009,I008,,,typical_assortment_unverified
P009,I009,,,typical_assortment_unverified
P009,I010,,,typical_assortment_unverified
P009,I011,,,typical_assortment_unverified
P009,I013,,,typical_assortment_unverified
P009,I014,,,typical_assortment_unverified
P009,I015,,,typical_assortment_unverified
P009,I017,,,typical_assortment_unverified
P009,I021,,,typical_assortment_unverified
P009,I022,,,typical_assortment_unverified
P009,I023,,,typical_assortment_unverified
P009,I024,,,typical_assortment_unverified
P009,I025,,,typical_assortment_unverified
P009,I027,,,typical_assortment_unverified
P009,I028,,,typical_assortment_unverified
P009,I029,,,typical_assortment_unverified
P009,I030,,,typical_assortment_unverified
P009,I031,,,typical_assortment_unverified
P010,I001,,,typical_assortment_unverified
P010,I002,,,typical_assortment_unverified
P010,I003,,,typical_assortment_unverified
P010,I004,,,typical_assortment_unverified
P010,I008,,,typical_assortment_unverified
P010,I009,,,typical_assortment_unverified
P010,I010,,,typical_assortment_unverified
P010,I011,,,typical_assortment_unverified
P010,I013,,,typical_assortment_unverified
P010,I014,,,typical_assortment_unverified
P010,I015,,,typical_assortment_unverified
P010,I017,,,typical_assortment_unverified
P010,I021,,,typical_assortment_unverified
P010,I022,,,typical_assortment_unverified
P010,I023,,,typical_assortment_unverified
P010,I024,,,typical_assortment_unverified
P010,I025,,,typical_assortment_unverified
P010,I027,,,typical_assortment_unverified
P010,I028,,,typical_assortment_unverified
P010,I029,,,typical_assortment_unverified
P010,I030,,,typical_assortment_unverified
P010,I031,,,typical_assortment_unverified
P011,I001,,,typical_assortment_unverified
P011,I002,,,typical_assortment_unverified
P011,I003,,,typical_assortment_unverified
P011,I004,,,typical_assortment_unverified
P011,I008,,,typical_assortment_unverified
P011,I009,,,typical_assortment_unverified
P011,I010,,,typical_assortment_unverified
P011,I011,,,typical_assortment_unverified
P011,I013,,,typical_assortment_unverified
P011,I014,,,typical_assortment_unverified
P011,I015,,,typical_assortment_unverified
P011,I017,,,typical_assortment_unverified
P011,I021,,,typical_assortment_unverified
P011,I022,,,typical_assortment_unverified
P011,I023,,,typical_assortment_unverified
P011,I024,,,typical_assortment_unverified
P011,I025,,,typical_assortment_unverified
P011,I027,,,typical_assortment_unverified
P011,I028,,,typical_assortment_unverified
P011,I029,,,typical_assortment_unverified
P011,I030,,,typical_assortment_unverified
P011,I031,,,typical_assortment_unverified
