poi_id,poi_name,poi_type,rating,lat,lon,osm_type,osm_id,address,source,fetched_at,verification_status
P001,全家便利商店,便利商店,,22.6393667,120.3022208,node,11795712900,,https://www.openstreetmap.org/node/11795712900,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P002,7-Eleven,便利商店,,22.6392313,120.3031148,node,11795720316,,https://www.openstreetmap.org/node/11795720316,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P003,7-Eleven,便利商店,,22.6477093,120.3037316,node,11823674446,,https://www.openstreetmap.org/node/11823674446,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P004,7-Eleven,便利商店,,22.6329823,120.3085074,node,11832210054,,https://www.openstreetmap.org/node/11832210054,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P005,7-Eleven 新旺淇,便利商店,,22.6370881,120.296134,node,3650453882,80750高雄市三民區建國三路169號零樓,https://www.openstreetmap.org/node/3650453882,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P006,全家便利商店,便利商店,,22.6310199,120.3268685,node,4858849924,,https://www.openstreetmap.org/node/4858849924,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P007,7-Eleven,便利商店,,22.6265344,120.2852317,node,5253908659,,https://www.openstreetmap.org/node/5253908659,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P008,OK超商 高雄七賢二店,便利商店,,22.6323716,120.2939334,node,5645697967,,https://www.openstreetmap.org/node/5645697967,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P009,OK超商,便利商店,,22.6324352,120.3118339,node,5982263785,,https://www.openstreetmap.org/node/5982263785,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P010,全家便利商店,便利商店,,22.6489092,120.3023375,node,7448398729,高雄市三民區重慶街269號,https://www.openstreetmap.org/node/7448398729,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P011,7-Eleven,便利商店,,22.6322006,120.3120897,node,11832181139,,https://www.openstreetmap.org/node/11832181139,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
P012,7-Eleven,便利商店,,22.6331376,120.3282818,node,2609282642,,https://www.openstreetmap.org/node/2609282642,2026-09-14T14:30:40.861084+00:00,osm_record_not_field_verified
