edge_id,route_name,from_stop_id,to_stop_id,travel_time_min,time_status,legacy_test_time_min,source,direction_status,model_distance_m,speed_cap_kmh,acceleration_m_s2,deceleration_m_s2,peak_speed_kmh,accel_distance_m,cruise_distance_m,decel_distance_m,accel_time_s,cruise_time_s,decel_time_s,travel_time_s,motion_profile,distance_method,model_version,computed_at
E001,88,S032,S028,0.406063,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,148.398744,50.0,1.0,1.0,43.854848,74.199372,0.0,74.199372,12.181902,0.0,12.181902,24.363805,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E002,88,S028,S029,0.783873,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,460.326585,50.0,1.0,1.0,50.0,96.450617,267.425351,96.450617,13.888889,19.254625,13.888889,47.032403,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E003,88,S029,S026,0.611627,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,316.787561,50.0,1.0,1.0,50.0,96.450617,123.886326,96.450617,13.888889,8.919815,13.888889,36.697593,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E004,88,S026,S025,0.678769,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,372.739709,50.0,1.0,1.0,50.0,96.450617,179.838474,96.450617,13.888889,12.94837,13.888889,40.726148,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E005,88,S025,S018,1.016588,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,654.2553,50.0,1.0,1.0,50.0,96.450617,461.354065,96.450617,13.888889,33.217493,13.888889,60.99527,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E006,88,S018,S036,0.576864,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,287.818588,50.0,1.0,1.0,50.0,96.450617,94.917354,96.450617,13.888889,6.834049,13.888889,34.611827,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E007,88,S036,S020,0.652109,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,350.522721,50.0,1.0,1.0,50.0,96.450617,157.621486,96.450617,13.888889,11.348747,13.888889,39.126525,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E008,88,S020,S021,0.466988,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,196.255032,50.0,1.0,1.0,50.0,96.450617,3.353798,96.450617,13.888889,0.241473,13.888889,28.019251,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E009,88,S021,S023,0.440731,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,174.819373,50.0,1.0,1.0,47.59894,87.409687,0.0,87.409687,13.221928,0.0,13.221928,26.443856,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E010,88,S023,S022,0.728588,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,414.255223,50.0,1.0,1.0,50.0,96.450617,221.353989,96.450617,13.888889,15.937487,13.888889,43.715265,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E011,88,S022,S008,0.675562,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,370.06701,50.0,1.0,1.0,50.0,96.450617,177.165775,96.450617,13.888889,12.755936,13.888889,40.533714,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E012,88,S008,S007,0.766842,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,446.134123,50.0,1.0,1.0,50.0,96.450617,253.232888,96.450617,13.888889,18.232768,13.888889,46.010546,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E013,88,S007,S019,0.566805,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,279.436619,50.0,1.0,1.0,50.0,96.450617,86.535384,96.450617,13.888889,6.230548,13.888889,34.008325,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E014,88,S019,S017,0.599339,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,306.547668,50.0,1.0,1.0,50.0,96.450617,113.646434,96.450617,13.888889,8.182543,13.888889,35.960321,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E015,88,S017,S010,0.61281,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,317.774049,50.0,1.0,1.0,50.0,96.450617,124.872814,96.450617,13.888889,8.990843,13.888889,36.76862,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E016,88,S010,S037,0.432487,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,168.340689,50.0,1.0,1.0,46.708622,84.170345,0.0,84.170345,12.974617,0.0,12.974617,25.949234,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E017,88,S037,S009,0.346717,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,108.191714,50.0,1.0,1.0,37.445489,54.095857,0.0,54.095857,10.401525,0.0,10.401525,20.803049,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E018,r31,S021,S023,0.440731,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,174.819373,50.0,1.0,1.0,47.59894,87.409687,0.0,87.409687,13.221928,0.0,13.221928,26.443856,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E019,r31,S023,S022,0.728588,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,414.255223,50.0,1.0,1.0,50.0,96.450617,221.353989,96.450617,13.888889,15.937487,13.888889,43.715265,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E020,r31,S022,S033,0.724415,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,410.778288,50.0,1.0,1.0,50.0,96.450617,217.877053,96.450617,13.888889,15.687148,13.888889,43.464926,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E021,r31,S033,S034,0.401272,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,144.917231,50.0,1.0,1.0,43.337366,72.458616,0.0,72.458616,12.038157,0.0,12.038157,24.076315,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E022,r31,S034,S014,0.430494,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,166.79239,50.0,1.0,1.0,46.493326,83.396195,0.0,83.396195,12.914813,0.0,12.914813,25.829626,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E023,r31,S014,S031,0.56762,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,280.115819,50.0,1.0,1.0,50.0,96.450617,87.214585,96.450617,13.888889,6.27945,13.888889,34.057228,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E024,r31,S031,S005,0.584997,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,294.596443,50.0,1.0,1.0,50.0,96.450617,101.695209,96.450617,13.888889,7.322055,13.888889,35.099833,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E025,r31,S005,S030,0.407103,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,149.159564,50.0,1.0,1.0,43.967123,74.579782,0.0,74.579782,12.21309,0.0,12.21309,24.42618,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E026,r31,S030,S024,0.265732,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,63.552042,50.0,1.0,1.0,28.699033,31.776021,0.0,31.776021,7.971953,0.0,7.971953,15.943907,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E027,r31,S024,S011,0.453582,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,185.162986,50.0,1.0,1.0,48.986858,92.581493,0.0,92.581493,13.607461,0.0,13.607461,27.214921,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E028,r30,S021,S023,0.440731,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,174.819373,50.0,1.0,1.0,47.59894,87.409687,0.0,87.409687,13.221928,0.0,13.221928,26.443856,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E029,r30,S023,S022,0.728588,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,414.255223,50.0,1.0,1.0,50.0,96.450617,221.353989,96.450617,13.888889,15.937487,13.888889,43.715265,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E030,r30,S022,S033,0.724415,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,410.778288,50.0,1.0,1.0,50.0,96.450617,217.877053,96.450617,13.888889,15.687148,13.888889,43.464926,trapezoidal,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
E031,r30,S033,S034,0.401272,kinematic_estimate,2,stops.csv; csv_version/estimate_bus_travel_times.py,unverified,144.917231,50.0,1.0,1.0,43.337366,72.458616,0.0,72.458616,12.038157,0.0,12.038157,24.076315,triangular,haversine_straight_line,symmetric_rest_to_rest_v1,2026-09-15T14:11:45.679177+00:00
