stop_id,poi_id,walking_time_min,straight_distance_m,route_distance_m,route_duration_s,start_snap_m,end_snap_m,time_status,source,fetched_at
S001,P009,2,98.474,135.1,108.1,5.89,9.38,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3112,22.6331;120.3118339,22.6324352?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:35.867791+00:00
S003,P008,2,71.936,109.1,91.3,15.31,5.71,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.2941,22.6330;120.2939334,22.6323716?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:34.099537+00:00
S008,P005,4,88.16,233.3,188.6,0.45,5.07,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.2954,22.6375;120.296134,22.6370881?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:28.828281+00:00
S009,P007,2,76.526,98.7,80.9,3.45,4.37,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.2846,22.6269;120.2852317,22.6265344?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:32.326096+00:00
S023,P001,,46.846,38,30.3,23.41,15.25,endpoint_needs_review,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3025,22.6397;120.3022208,22.6393667?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:20.037931+00:00
S023,P002,4,81.836,247,197.8,23.41,10.63,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3025,22.6397;120.3031148,22.6392313?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:21.796092+00:00
S024,P010,2,96.585,144.3,117.3,5.47,6.9,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3031,22.6484;120.3023375,22.6489092?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:39.371868+00:00
S027,P004,2,32.797,100.3,80.1,10.51,10.63,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3086,22.6327;120.3085074,22.6329823?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:27.060181+00:00
S028,P006,2,83.968,108.9,87,2.27,9.85,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3275,22.6315;120.3268685,22.6310199?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:30.587020+00:00
S030,P003,3,97.925,161.3,132.9,9.49,9.39,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3028,22.6479;120.3037316,22.6477093?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:23.552453+00:00
S035,P009,1,58.455,65.9,52.7,20.32,9.38,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3121,22.6329;120.3118339,22.6324352?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:37.621644+00:00
S035,P011,2,77.777,118.5,96.7,20.32,8.78,road_network_estimate,"https://routing.openstreetmap.de/routed-foot/route/v1/foot/120.3121,22.6329;120.3120897,22.6322006?overview=full&geometries=geojson&steps=false",2026-09-14T14:32:25.327127+00:00
