stop_id,stop_name,store_count,coordinate_status,completeness
S001,七賢一路,1,legacy_coordinates_unverified,osm_snapshot_only
S002,七賢二路,0,legacy_coordinates_unverified,osm_snapshot_only
S003,七賢二路口(中華三路),1,legacy_coordinates_unverified,osm_snapshot_only
S004,七賢國小,0,legacy_coordinates_unverified,osm_snapshot_only
S005,十全國小(察哈爾二街),0,legacy_coordinates_unverified,osm_snapshot_only
S006,三民市場,0,legacy_coordinates_unverified,osm_snapshot_only
S007,三民國小,0,legacy_coordinates_unverified,osm_snapshot_only
S008,三鳳中街,1,legacy_coordinates_unverified,osm_snapshot_only
S009,大公路口(建國四路),1,legacy_coordinates_unverified,osm_snapshot_only
S010,北斗街口,0,legacy_coordinates_unverified,osm_snapshot_only
S011,北平一街一,0,legacy_coordinates_unverified,osm_snapshot_only
S012,民族路口(七賢一路),0,legacy_coordinates_unverified,osm_snapshot_only
S013,成功一路口,0,legacy_coordinates_unverified,osm_snapshot_only
S014,自立十全路口,0,legacy_coordinates_unverified,osm_snapshot_only
S015,自立路口,0,legacy_coordinates_unverified,osm_snapshot_only
S016,自強路口,0,legacy_coordinates_unverified,osm_snapshot_only
S017,河濱國小,0,legacy_coordinates_unverified,osm_snapshot_only
S018,建國二路,0,legacy_coordinates_unverified,osm_snapshot_only
S019,建國三路,0,legacy_coordinates_unverified,osm_snapshot_only
S020,建國忠孝路口,0,legacy_coordinates_unverified,osm_snapshot_only
S021,建國林森路口,0,legacy_coordinates_unverified,osm_snapshot_only
S022,高雄中學,0,legacy_coordinates_unverified,osm_snapshot_only
S023,高雄車站(建國路),2,legacy_coordinates_unverified,osm_snapshot_only
S024,捷運後驛站,1,legacy_coordinates_unverified,osm_snapshot_only
S025,凱國路口,0,legacy_coordinates_unverified,osm_snapshot_only
S026,凱旋路口,0,legacy_coordinates_unverified,osm_snapshot_only
S027,復興一路口,1,legacy_coordinates_unverified,osm_snapshot_only
S028,聖功醫院,1,legacy_coordinates_unverified,osm_snapshot_only
S029,道明中學,0,legacy_coordinates_unverified,osm_snapshot_only
S030,察哈爾二街(捷運後驛站),1,legacy_coordinates_unverified,osm_snapshot_only
S031,察哈爾街口,0,legacy_coordinates_unverified,osm_snapshot_only
S032,福德市場,1,user_provided_not_officially_verified,osm_snapshot_only
S033,臺鐵三塊厝站(自立路),0,legacy_coordinates_unverified,osm_snapshot_only
S034,遼寧街口(自立路),0,legacy_coordinates_unverified,osm_snapshot_only
S035,錦田路口(七賢一路),2,legacy_coordinates_unverified,osm_snapshot_only
S036,鐵路新村,0,legacy_coordinates_unverified,osm_snapshot_only
S037,鹽埕分局,0,legacy_coordinates_unverified,osm_snapshot_only
