stop_id,stop_name,lat,lon
S001,七賢一路,22.6331,120.3112
S002,七賢二路,22.6332,120.2960
S003,七賢二路口(中華三路),22.6330,120.2941
S004,七賢國小,22.6324,120.3065
S005,十全國小(察哈爾二街),22.6473,120.3015
S006,三民市場,22.6355,120.2948
S007,三民國小,22.6350,120.2920
S008,三鳳中街,22.6375,120.2954
S009,大公路口(建國四路),22.6269,120.2846
S010,北斗街口,22.6289,120.2862
S011,北平一街一,22.6500,120.3026
S012,民族路口(七賢一路),22.6330,120.3147
S013,成功一路口,22.6327,120.2897
S014,自立十全路口,22.6452,120.2964
S015,自立路口,22.6331,120.2969
S016,自強路口,22.6329,120.2922
S017,河濱國小,22.6310,120.2883
S018,建國二路,22.6384,120.3122
S019,建國三路,22.6332,120.2901
S020,建國忠孝路口,22.6394,120.3061
S021,建國林森路口,22.6396,120.3042
S022,高雄中學,22.6392,120.2985
S023,高雄車站(建國路),22.6397,120.3025
S024,捷運後驛站,22.6484,120.3031
S025,凱國路口,22.6375,120.3185
S026,凱旋路口,22.6361,120.3218
S027,復興一路口,22.6327,120.3086
S028,聖功醫院,22.6315,120.3275
S029,道明中學,22.6342,120.3241
S030,察哈爾二街(捷運後驛站),22.6479,120.3028
S031,察哈爾街口,22.6464,120.2988
S032,福德市場,22.6294,120.3262
S033,臺鐵三塊厝站(自立路),22.6424,120.2965
S034,遼寧街口(自立路),22.6437,120.2964
S035,錦田路口(七賢一路),22.6329,120.3121
S036,鐵路新村,22.6391,120.3095
S037,鹽埕分局,22.6277,120.2852
