"路線名稱","起點站 (Source)","起點緯度 (Source_Lat)","起點經度 (Source_Lon)","終點站 (Target)","終點緯度 (Target_Lat)","終點經度 (Target_Lon)","預估時間_分鐘 (Time)","說明"
"88","福德市場","22.6294","120.3262","聖功醫院","22.6315","120.3275","2",""
"88","聖功醫院","22.6315","120.3275","道明中學","22.6342","120.3241","2",""
"88","道明中學","22.6342","120.3241","凱旋路口","22.6361","120.3218","2",""
"88","凱旋路口","22.6361","120.3218","凱國路口","22.6375","120.3185","2",""
"88","凱國路口","22.6375","120.3185","建國二路","22.6384","120.3122","2",""
"88","建國二路","22.6384","120.3122","鐵路新村","22.6391","120.3095","2",""
"88","鐵路新村","22.6391","120.3095","建國忠孝路口","22.6394","120.3061","2",""
"88","建國忠孝路口","22.6394","120.3061","建國林森路口","22.6396","120.3042","2",""
"88","建國林森路口","22.6396","120.3042","高雄車站(建國路)","22.6397","120.3025","2",""
"88","高雄車站(建國路)","22.6397","120.3025","高雄中學","22.6392","120.2985","2",""
"88","高雄中學","22.6392","120.2985","三鳳中街","22.6375","120.2954","2",""
"88","三鳳中街","22.6375","120.2954","三民國小","22.6350","120.2920","2",""
"88","三民國小","22.6350","120.2920","建國三路","22.6332","120.2901","2",""
"88","建國三路","22.6332","120.2901","河濱國小","22.6310","120.2883","2",""
"88","河濱國小","22.6310","120.2883","北斗街口","22.6289","120.2862","2",""
"88","北斗街口","22.6289","120.2862","鹽埕分局","22.6277","120.2852","2",""
"88","鹽埕分局","22.6277","120.2852","大公路口(建國四路)","22.6269","120.2846","2",""
"","","","","","","","",""
"r31","建國林森路口","22.6396","120.3042","高雄車站(建國路)","22.6397","120.3025","2",""
"r31","高雄車站(建國路)","22.6397","120.3025","高雄中學","22.6392","120.2985","2",""
"r31","高雄中學","22.6392","120.2985","臺鐵三塊厝站(自立路)","22.6424","120.2965","2",""
"r31","臺鐵三塊厝站(自立路)","22.6424","120.2965","遼寧街口(自立路)","22.6437","120.2964","2",""
"r31","遼寧街口(自立路)","22.6437","120.2964","自立十全路口","22.6452","120.2964","2",""
"r31","自立十全路口","22.6452","120.2964","察哈爾街口","22.6464","120.2988","2",""
"r31","察哈爾街口","22.6464","120.2988","十全國小(察哈爾二街)","22.6473","120.3015","2",""
"r31","十全國小(察哈爾二街)","22.6473","120.3015","察哈爾二街(捷運後驛站)","22.6479","120.3028","2",""
"r31","察哈爾二街(捷運後驛站)","22.6479","120.3028","捷運後驛站","22.6484","120.3031","2",""
"r31","捷運後驛站","22.6484","120.3031","北平一街一","22.6500","120.3026","2",""
"","","","","","","","",""
"r30","建國林森路口","22.6396","120.3042","高雄車站(建國路)","22.6397","120.3025","2",""
"r30","高雄車站(建國路)","22.6397","120.3025","高雄中學","22.6392","120.2985","2",""
"r30","高雄中學","22.6392","120.2985","臺鐵三塊厝站(自立路)","22.6424","120.2965","2",""
"r30","臺鐵三塊厝站(自立路)","22.6424","120.2965","遼寧街口(自立路)","22.6437","120.2964","2",""
"r30","遼寧街口(自立路)","22.6437","120.2964","自立十全路口","22.6452","120.2964","2",""
"r30","自立十全路口","22.6452","120.2964","察哈爾街口","22.6464","120.2988","2",""
"r30","察哈爾街口","22.6464","120.2988","十全國小(察哈爾二街)","22.6473","120.3015","2",""
"r30","十全國小(察哈爾二街)","22.6473","120.3015","察哈爾二街(捷運後驛站)","22.6479","120.3028","2",""
"r30","察哈爾二街(捷運後驛站)","22.6479","120.3028","捷運後驛站","22.6484","120.3031","2",""
"r30","捷運後驛站","22.6484","120.3031","北平一街一","22.6500","120.3026","2",""
"","","","","","","","",""
"82","七賢一路","22.6331","120.3112","民族路口(七賢一路)","22.6330","120.3147","2",""
"82","民族路口(七賢一路)","22.6330","120.3147","錦田路口(七賢一路)","22.6329","120.3121","2",""
"82","錦田路口(七賢一路)","22.6329","120.3121","復興一路口","22.6327","120.3086","2",""
"82","復興一路口","22.6327","120.3086","七賢國小","22.6324","120.3065","2",""
"82","七賢國小","22.6324","120.3065","高雄車站(建國路)","22.6397","120.3025","2",""
"82","高雄車站(建國路)","22.6397","120.3025","高雄中學","22.6392","120.2985","2",""
"82","高雄中學","22.6392","120.2985","三鳳中街","22.6375","120.2954","2",""
"82","三鳳中街","22.6375","120.2954","三民市場","22.6355","120.2948","2",""
"82","三民市場","22.6355","120.2948","七賢二路口(中華三路)","22.6330","120.2941","2",""
"82","七賢二路口(中華三路)","22.6330","120.2941","自強路口","22.6329","120.2922","2",""
"82","自強路口","22.6329","120.2922","成功一路口","22.6327","120.2897","2",""
"","","","","","","","",""
"72","七賢二路","22.6332","120.2960","自立路口","22.6331","120.2969","2",""
"72","自立路口","22.6331","120.2969","高雄中學","22.6392","120.2985","2",""
"72","高雄中學","22.6392","120.2985","高雄車站(建國路)","22.6397","120.3025","2",""
"72","高雄車站(建國路)","22.6397","120.3025","建國林森路口","22.6396","120.3042","2",""
"72","建國林森路口","22.6396","120.3042","建國忠孝路口","22.6394","120.3061","2",""
"72","建國忠孝路口","22.6394","120.3061","鐵路新村","22.6391","120.3095","2",""
