poi_id,item_id,price,service_time_min
P001,I001,30,12
P001,I002,39,7
P001,I003,45,11
P001,I009,49,4
P001,I014,50,6
P001,I017,45,5
P002,I003,45,3
P002,I004,79,3
P002,I005,74,5
P002,I006,35,10
P002,I007,40,9
P002,I021,30,10
P003,I003,50,6
P003,I004,79,4
P003,I005,64,6
P003,I006,35,11
P003,I007,35,10
P003,I021,45,9
P004,I003,55,9
P004,I004,74,4
P004,I005,69,5
P004,I006,30,5
P004,I007,40,3
P004,I021,35,3
P005,I001,25,3
P005,I010,50,7
P005,I011,55,8
P005,I012,34,9
P005,I013,45,5
P005,I025,54,5
P008,I001,25,11
P008,I003,50,10
P008,I013,35,8
P008,I017,40,4
P008,I018,20,9
P008,I020,44,4
P009,I001,20,4
P009,I003,45,4
P009,I016,129,4
P009,I017,45,3
P009,I021,35,3
P010,I001,25,5
P010,I003,45,12
P010,I016,129,3
P010,I017,45,6
P010,I018,30,10
P010,I019,25,7
P010,I020,49,6
P010,I021,35,8
P011,I001,25,8
P011,I003,50,3
P011,I016,129,5
P011,I017,35,12
P011,I018,20,11
P011,I021,45,3
P016,I001,25,6
P016,I002,44,3
P016,I003,45,9
P016,I004,84,7
P016,I005,64,8
P016,I006,35,5
P016,I008,13,3
P016,I009,59,6
P016,I010,55,5
P016,I012,39,10
P016,I013,35,6
P016,I014,55,4
P016,I015,39,8
P016,I017,45,3
P016,I019,15,10
P016,I021,30,5
P016,I022,45,9
P016,I024,89,9
P017,I001,30,10
P017,I002,39,10
P017,I003,40,10
P017,I004,79,8
P017,I005,69,7
P017,I006,35,4
P017,I007,30,7
P017,I008,18,9
P017,I009,49,8
P017,I013,35,3
P017,I014,40,3
P017,I015,39,9
P017,I016,124,9
P017,I017,35,4
P017,I018,20,3
P017,I019,20,8
P017,I020,49,10
P017,I021,45,6
P017,I022,40,7
P017,I024,99,9
P017,I025,54,10
P018,I001,25,9
P018,I002,34,9
P018,I003,45,6
P018,I007,25,8
P018,I008,10,6
P018,I009,49,7
P018,I010,45,7
P018,I011,45,8
P018,I012,39,5
P018,I013,35,7
P018,I014,45,5
P018,I015,44,3
P018,I016,134,6
P018,I017,30,9
P018,I018,20,4
P018,I019,10,9
P018,I020,49,10
P018,I021,35,5
P018,I022,45,8
P018,I024,89,7
P018,I025,44,9
P019,I001,25,8
P019,I002,44,4
P019,I003,50,4
P019,I006,35,8
P019,I007,40,3
P019,I008,13,7
P019,I009,49,4
P019,I012,49,4
P019,I013,45,6
P019,I014,45,10
P019,I015,39,10
P019,I016,129,7
P019,I017,30,5
P019,I018,25,5
P019,I019,15,5
P019,I020,44,8
P019,I021,45,10
P019,I022,35,8
P020,I001,35,3
P020,I002,44,8
P020,I003,45,10
P020,I007,25,9
P020,I008,10,8
P020,I009,54,7
P020,I012,49,8
P020,I013,35,9
P020,I014,45,7
P020,I015,39,3
P020,I016,124,8
P020,I017,45,7
P020,I020,49,7
P020,I021,45,7
P020,I022,35,7
P020,I023,199,8
P020,I025,44,4
P021,I001,25,10
P021,I002,44,10
P021,I003,45,4
P021,I008,10,7
P021,I009,49,7
P021,I010,50,7
P021,I012,49,7
P021,I013,35,8
P021,I014,40,6
P021,I015,44,8
P021,I016,129,5
P021,I017,40,4
P021,I018,25,9
P021,I019,25,10
P021,I020,49,4
P021,I021,40,6
P021,I022,35,8
P021,I023,194,7
P022,I001,25,5
P022,I002,39,6
P022,I003,40,6
P022,I006,40,7
P022,I007,40,5
P022,I008,10,5
P022,I009,49,4
P022,I010,55,8
P022,I012,39,3
P022,I013,45,3
P022,I014,50,8
P022,I015,39,5
P022,I017,45,10
P022,I018,20,10
P022,I019,20,4
P022,I020,49,3
P022,I021,35,7
P022,I022,35,9
P023,I001,20,4
P023,I002,39,8
P023,I003,40,3
P023,I005,64,10
P023,I006,45,4
P023,I008,18,8
P023,I009,49,8
P023,I010,55,10
P023,I011,50,3
P023,I012,49,3
P023,I013,45,8
P023,I014,55,9
P023,I015,49,8
P023,I016,134,3
P023,I017,35,10
P023,I020,49,5
P023,I021,40,3
P023,I022,35,10
P023,I024,89,10
P023,I026,64,4
P024,I001,25,8
P024,I002,34,3
P024,I003,40,10
P024,I004,74,4
P024,I006,35,6
P024,I007,30,8
P024,I008,13,10
P024,I009,49,10
P024,I010,50,3
P024,I013,35,6
P024,I014,45,10
P024,I015,39,4
P024,I016,134,3
P024,I017,30,3
P024,I018,20,9
P024,I019,25,8
P024,I020,54,8
P024,I021,40,8
P024,I022,30,3
P024,I023,199,8
P024,I024,89,3
P024,I026,64,6
P025,I001,25,7
P025,I002,39,10
P025,I003,45,8
P025,I005,74,6
P025,I006,35,4
P025,I007,40,5
P025,I008,10,5
P025,I009,59,3
P025,I011,40,3
P025,I012,39,8
P025,I013,45,8
P025,I014,40,8
P025,I015,49,9
P025,I017,35,10
P025,I019,15,5
P025,I021,35,8
P025,I022,45,5
P025,I023,209,3
P025,I024,94,5
P026,I001,25,8
P026,I002,39,4
P026,I003,55,10
P026,I004,79,6
P026,I005,64,5
P026,I006,35,4
P026,I007,30,3
P026,I008,13,6
P026,I009,49,10
P026,I011,40,8
P026,I013,45,10
P026,I014,40,4
P026,I015,39,9
P026,I016,129,8
P026,I017,35,3
P026,I018,30,5
P026,I020,49,6
P026,I021,35,7
P026,I022,35,9
P026,I025,49,4
P027,I001,20,3
P027,I002,39,8
P027,I003,45,4
P027,I004,79,9
P027,I005,69,5
P027,I006,40,7
P027,I007,30,5
P027,I008,13,4
P027,I009,54,5
P027,I010,50,5
P027,I011,50,3
P027,I012,44,8
P027,I013,35,7
P027,I014,55,9
P027,I015,44,7
P027,I017,35,4
P027,I018,20,9
P027,I019,25,7
P027,I020,54,5
P027,I021,30,3
P027,I022,30,10
P027,I024,89,5
P028,I001,30,6
P028,I002,39,5
P028,I003,55,7
P028,I006,40,6
P028,I008,10,10
P028,I009,49,3
P028,I010,50,6
P028,I011,50,5
P028,I013,35,10
P028,I014,40,6
P028,I015,44,5
P028,I017,35,5
P028,I018,20,5
P028,I020,44,4
P028,I021,35,3
P028,I022,35,3
P028,I023,209,10
P028,I024,99,3
P028,I026,59,6
P029,I001,25,8
P029,I002,39,6
P029,I003,45,10
P029,I005,64,5
P029,I006,45,6
P029,I008,10,10
P029,I009,49,9
P029,I010,50,3
P029,I013,35,3
P029,I014,45,4
P029,I015,39,10
P029,I016,129,10
P029,I017,35,3
P029,I019,15,8
P029,I021,35,5
P029,I022,40,10
P029,I024,94,4
P029,I026,54,10
P030,I001,30,9
P030,I002,34,6
P030,I003,45,10
P030,I005,79,6
P030,I006,45,10
P030,I008,23,5
P030,I009,49,5
P030,I013,40,9
P030,I014,40,5
P030,I015,44,5
P030,I016,129,6
P030,I017,45,6
P030,I018,30,3
P030,I020,49,4
P030,I021,35,4
P030,I022,30,5
P030,I023,199,9
P030,I025,49,10
P031,I001,20,8
P031,I002,39,10
P031,I003,45,7
P031,I005,69,4
P031,I006,40,7
P031,I007,25,6
P031,I008,23,4
P031,I009,49,7
P031,I012,39,3
P031,I013,35,5
P031,I014,50,7
P031,I015,49,7
P031,I017,35,8
P031,I019,10,5
P031,I021,45,3
P031,I022,40,5
P031,I023,204,3
P031,I024,89,8
P031,I026,59,9
P032,I001,25,10
P032,I002,39,10
P032,I003,45,10
P032,I004,79,4
P032,I005,64,4
P032,I008,13,6
P032,I009,54,6
P032,I012,34,8
P032,I013,30,7
P032,I014,45,5
P032,I015,39,5
P032,I016,129,5
P032,I017,35,9
P032,I018,25,3
P032,I019,15,3
P032,I021,30,9
P032,I022,45,10
P032,I023,204,5
P032,I025,54,9
P033,I001,25,4
P033,I002,39,6
P033,I003,45,5
P033,I004,79,3
P033,I005,79,9
P033,I006,35,8
P033,I007,25,5
P033,I008,13,10
P033,I009,54,10
P033,I012,34,10
P033,I013,30,3
P033,I014,45,7
P033,I015,39,3
P033,I017,35,5
P033,I018,20,5
P033,I020,49,4
P033,I021,35,7
P033,I022,30,7
P034,I001,20,3
P034,I002,49,10
P034,I003,50,8
P034,I006,30,8
P034,I007,35,6
P034,I008,13,8
P034,I009,59,8
P034,I010,55,9
P034,I013,35,4
P034,I014,55,4
P034,I015,34,5
P034,I017,35,6
P034,I018,20,7
P034,I019,10,10
P034,I021,35,6
P034,I022,35,3
P034,I023,199,4
P034,I024,99,4
P035,I001,35,3
P035,I002,44,3
P035,I003,55,6
P035,I004,79,5
P035,I007,30,6
P035,I008,10,9
P035,I009,49,3
P035,I010,60,3
P035,I011,40,10
P035,I012,39,7
P035,I013,30,5
P035,I014,50,10
P035,I015,44,4
P035,I016,124,7
P035,I017,35,5
P035,I018,25,6
P035,I019,15,4
P035,I020,54,4
P035,I021,40,9
P035,I022,35,9
P035,I026,59,3
P036,I001,25,3
P036,I002,34,9
P036,I003,45,5
P036,I005,74,8
P036,I007,25,6
P036,I008,13,5
P036,I009,49,10
P036,I013,35,10
P036,I014,50,3
P036,I015,44,4
P036,I016,134,3
P036,I017,30,8
P036,I018,30,6
P036,I019,15,5
P036,I021,45,10
P036,I022,35,9
P036,I023,209,10
P036,I026,59,10
P037,I001,25,3
P037,I002,49,4
P037,I003,40,8
P037,I004,89,10
P037,I005,74,6
P037,I006,40,8
P037,I008,10,10
P037,I009,49,8
P037,I010,50,10
P037,I011,55,4
P037,I013,35,4
P037,I014,45,7
P037,I015,39,7
P037,I016,139,3
P037,I017,40,9
P037,I019,20,7
P037,I020,44,9
P037,I021,35,8
P037,I022,40,7
P037,I026,54,10
P038,I001,35,3
P038,I002,39,10
P038,I003,55,4
P038,I005,69,9
P038,I006,35,10
P038,I007,30,10
P038,I008,13,10
P038,I009,49,10
P038,I010,50,4
P038,I012,44,5
P038,I013,30,3
P038,I014,40,9
P038,I015,39,10
P038,I016,139,8
P038,I017,35,7
P038,I019,15,8
P038,I021,45,5
P038,I022,35,5
P038,I023,199,5
P038,I025,49,4
P038,I026,69,3
P039,I001,25,4
P039,I002,34,7
P039,I003,45,8
P039,I004,84,4
P039,I007,35,7
P039,I008,10,3
P039,I009,49,4
P039,I011,45,5
P039,I012,39,5
P039,I013,30,5
P039,I014,45,6
P039,I015,44,5
P039,I017,40,7
P039,I018,20,8
P039,I019,25,5
P039,I020,54,3
P039,I021,35,4
P039,I022,35,7
P039,I024,84,10
P039,I025,49,5
