poi_id,poi_name,poi_type,rating,lat,lon,osm_type,osm_id,address,source
P001,高雄車站,交通景點,4.4,22.6398,120.3023,,,,
P002,三鳳中街,特色市場,4.3,22.6374,120.2949,,,,
P003,三民市場,傳統市場,4.2,22.6354,120.2946,,,,
P004,福德市場,傳統市場,4.1,22.6292,120.3260,,,,
P005,聖功醫院,醫療服務,4.0,22.6314,120.3272,,,,
P006,道明中學,校園地標,4.3,22.6340,120.3245,,,,
P007,高雄中學,校園地標,4.5,22.6388,120.2977,,,,
P008,高雄市立歷史博物館,博物館,4.4,22.6265,120.2861,,,,
P009,六合觀光夜市,夜市,4.2,22.6321,120.3018,,,,
P010,後驛商圈,商圈,4.2,22.6480,120.3020,,,,
P011,吉林夜市,夜市,4.3,22.6445,120.3060,,,,
P012,愛河之心,景點,4.4,22.6522,120.3031,,,,
P013,三鳳中街,特色市場,4.3,22.6374,120.2949,,,,
P014,三民市場,傳統市場,4.2,22.6354,120.2946,,,,
P015,六合觀光夜市,夜市,4.2,22.6321,120.3018,,,,
P016,蝦皮店到店,便利商店,4.5,22.6302155,120.2873651,node,10859735524,高雄市前金區河東路305,https://www.openstreetmap.org/node/10859735524
P017,全家便利商店,便利商店,4.5,22.6393667,120.3022208,node,11795712900,,https://www.openstreetmap.org/node/11795712900
P018,7-Eleven,便利商店,4.0,22.6392313,120.3031148,node,11795720316,,https://www.openstreetmap.org/node/11795720316
P019,7-Eleven,便利商店,4.1,22.6477093,120.3037316,node,11823674446,,https://www.openstreetmap.org/node/11823674446
P020,7-Eleven,便利商店,3.6,22.6329823,120.3085074,node,11832210054,,https://www.openstreetmap.org/node/11832210054
P021,7-Eleven,便利商店,4.2,22.6312029,120.2893341,node,2643778786,高雄市前金區市中一路242,https://www.openstreetmap.org/node/2643778786
P022,7-Eleven,便利商店,3.7,22.6374259,120.3049865,node,3150733776,高雄市三民區建國二路233,https://www.openstreetmap.org/node/3150733776
P023,7-Eleven,便利商店,3.9,22.6437362,120.2983731,node,3521914223,,https://www.openstreetmap.org/node/3521914223
P024,7-Eleven,便利商店,3.9,22.6370881,120.2961340,node,3650453882,高雄市三民區建國三路169,https://www.openstreetmap.org/node/3650453882
P025,7-Eleven,便利商店,4.7,22.6330285,120.3226738,node,3650529986,,https://www.openstreetmap.org/node/3650529986
P026,7-Eleven,便利商店,4.0,22.6398886,120.3175634,node,3768777312,,https://www.openstreetmap.org/node/3768777312
P027,全家便利商店,便利商店,3.9,22.6310199,120.3268685,node,4858849924,,https://www.openstreetmap.org/node/4858849924
P028,7-Eleven,便利商店,4.6,22.6265344,120.2852317,node,5253908659,,https://www.openstreetmap.org/node/5253908659
P029,福利社,便利商店,4.2,22.6390366,120.2970869,node,5474717811,,https://www.openstreetmap.org/node/5474717811
P030,OK超商,便利商店,4.7,22.6323716,120.2939334,node,5645697967,,https://www.openstreetmap.org/node/5645697967
P031,OK超商,便利商店,4.6,22.6324352,120.3118339,node,5982263785,,https://www.openstreetmap.org/node/5982263785
P032,全家便利商店,便利商店,3.9,22.6489092,120.3023375,node,7448398729,高雄市三民區重慶街269,https://www.openstreetmap.org/node/7448398729
P033,7-Eleven,便利商店,4.6,22.6311492,120.3073890,node,7473465264,,https://www.openstreetmap.org/node/7473465264
P034,台灣菸酒,便利商店,4.1,22.6502906,120.3024744,node,7498340753,,https://www.openstreetmap.org/node/7498340753
P035,全家便利商店,便利商店,4.3,22.6376773,120.3105564,node,7627752831,,https://www.openstreetmap.org/node/7627752831
P036,全家便利商店,便利商店,3.9,22.6346244,120.2935955,node,8422573768,,https://www.openstreetmap.org/node/8422573768
P037,7-Eleven,便利商店,4.8,22.6335772,120.3138435,node,8455990760,,https://www.openstreetmap.org/node/8455990760
P038,全家便利商店,便利商店,4.1,22.6311026,120.2954855,way,1348151245,高雄市前金區中華三路146,https://www.openstreetmap.org/way/1348151245
P039,萊爾富,便利商店,4.5,22.6386708,120.3084684,way,1445795285,高雄市三民區復興一路231,https://www.openstreetmap.org/way/1445795285
