stop_id,poi_id,walking_time_min
S023,P001,2
S008,P002,3
S006,P003,2
S032,P004,2
S028,P005,2
S029,P006,3
S022,P007,3
S037,P008,7
S009,P008,8
S001,P009,10
S002,P009,9
S024,P010,3
S030,P010,4
S034,P011,10
S031,P011,12
S024,P012,12
S011,P012,10
S001,P031,2
S002,P030,4
S003,P030,1
S004,P033,3
S005,P032,3
S006,P036,3
S007,P036,3
S008,P024,2
S009,P028,2
S010,P016,3
S011,P034,1
S012,P037,2
S013,P021,3
S014,P023,4
S015,P038,4
S016,P030,3
S017,P021,2
S018,P035,3
S019,P021,4
S020,P022,4
S021,P018,2
S022,P029,2
S023,P017,1
S024,P032,2
S025,P026,4
S026,P025,5
S027,P020,1
S028,P027,2
S029,P025,3
S030,P019,2
S031,P023,4
S032,P027,3
S033,P023,4
S034,P023,3
S035,P031,1
S036,P039,2
S037,P028,2
