market_id,source_url,coordinate_source_url,coordinate_type,verification,retrieved_at,note
NM001,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=26；DMS 轉十進位；非實測入口。
NM002,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=29；DMS 轉十進位；非實測入口。
NM003,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=25；DMS 轉十進位；非實測入口。
NM004,https://tonightmarkets.com/night-markets/night-market-0008,https://tonightmarkets.com/night-markets/night-market-0008,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM005,https://tonightmarkets.com/night-markets/night-market-0019,https://tonightmarkets.com/night-markets/night-market-0019,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM006,https://tonightmarkets.com/night-markets/night-market-0020,https://tonightmarkets.com/night-markets/night-market-0020,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM007,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=17；DMS 轉十進位；非實測入口。
NM008,https://tonightmarkets.com/night-markets/night-market-0004,https://tonightmarkets.com/night-markets/night-market-0004,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM009,https://tonightmarkets.com/night-markets/night-market-0021,https://tonightmarkets.com/night-markets/night-market-0021,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM010,https://tonightmarkets.com/night-markets/night-market-0013,https://tonightmarkets.com/night-markets/night-market-0013,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM011,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=44；DMS 轉十進位；非實測入口。
NM012,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=43；DMS 轉十進位；非實測入口。
NM013,https://tonightmarkets.com/night-markets/night-market-0010,https://tonightmarkets.com/night-markets/night-market-0010,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM014,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=35；DMS 轉十進位；非實測入口。
NM015,https://tonightmarkets.com/night-markets/night-market-0015,https://tonightmarkets.com/night-markets/night-market-0015,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM016,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=11；DMS 轉十進位；非實測入口。
NM017,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=2；DMS 轉十進位；非實測入口。
NM018,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=4；DMS 轉十進位；非實測入口。
NM019,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=8；DMS 轉十進位；非實測入口。
NM020,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,https://data.taipei/dataset/detail?id=c013d9ec-a550-46bd-ac60-45f085930706,official_representative_point,official_listing,2026-09-19,官方攤販集中場 seqno=6；DMS 轉十進位；非實測入口。
NM021,https://tonightmarkets.com/night-markets/night-market-8662,https://tonightmarkets.com/night-markets/night-market-8662,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM022,https://tonightmarkets.com/night-markets/night-market-0036,https://tonightmarkets.com/night-markets/night-market-0036,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM023,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=67&chk=e867df0b-0631-408b-9917-b2ffc6eaa8c2&param=pn%3d1%26mid%3d26%26id%3d74,https://newtaipei.travel/zh-tw/Attractions/Detail/110341,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM024,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=68&chk=576d777b-ce03-48e7-9abc-7c80b2b30902&param=pn%3d1%26mid%3d26%26id%3d74,https://www.openstreetmap.org/way/240133505,approximate_street_point,official_listing,2026-09-19,官方名冊有夜市；座標為 Nominatim 回傳之所在道路代表點，不代表攤集範圍中心或入口，暫不產生近鄰關聯。
NM025,https://newtaipei.travel/zh-tw/Attractions/Detail/402920,https://newtaipei.travel/zh-tw/Attractions/Detail/402920,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM026,https://tonightmarkets.com/night-markets/night-market-6112,https://tonightmarkets.com/night-markets/night-market-6112,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM027,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=62&chk=0e389a80-a18f-4dfc-ad48-4e111b7d783f&param=pn%3d1%26mid%3d26%26id%3d74,https://www.openstreetmap.org/way/201922547,approximate_street_point,official_listing,2026-09-19,官方名冊有夜市；座標為 Nominatim 回傳之所在道路代表點，不代表攤集範圍中心或入口，暫不產生近鄰關聯。
NM028,https://tonightmarkets.com/night-markets/night-market-0042,https://tonightmarkets.com/night-markets/night-market-0042,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM029,https://tonightmarkets.com/night-markets/night-market-0041,https://tonightmarkets.com/night-markets/night-market-0041,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM030,https://tonightmarkets.com/night-markets/night-market-0040,https://tonightmarkets.com/night-markets/night-market-0040,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM031,https://tonightmarkets.com/night-markets/night-market-0045,https://tonightmarkets.com/night-markets/night-market-0045,published_point,community_listing,2026-09-19,五股工業區為慣稱，五工二路位於新莊區；來源行政區已修正。
NM032,https://tonightmarkets.com/night-markets/night-market-8680,https://tonightmarkets.com/night-markets/night-market-8680,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM033,https://newtaipei.travel/zh-tw/Attractions/Detail/107166,https://newtaipei.travel/zh-tw/Attractions/Detail/107166,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM034,https://tonightmarkets.com/night-markets/night-market-6113,https://tonightmarkets.com/night-markets/night-market-6113,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM035,https://tonightmarkets.com/night-markets/night-market-0031,https://tonightmarkets.com/night-markets/night-market-0031,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM036,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=56&chk=bfe64417-0795-4b42-aedc-9ab71f511b8b&param=pn%3d1%26mid%3d26%26id%3d74,https://www.openstreetmap.org/way/316978082,approximate_street_point,official_listing,2026-09-19,官方名冊有夜市；座標為 Nominatim 回傳之所在道路代表點，不代表攤集範圍中心或入口，暫不產生近鄰關聯。
NM037,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=57&chk=a3cf73a8-704e-438f-bb85-3ab8758cdc43&param=pn%3d1%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0025,published_point,official_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM038,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=55&chk=dbc6f460-a420-4116-b368-a05f3cf247d5&param=pn%3d1%26mid%3d26%26id%3d74,https://newtaipei.travel/zh-tw/Attractions/Detail/109711,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM039,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=60&chk=b1c9224e-b6ef-490d-81c8-ffca535ac77a&param=pn%3d1%26mid%3d26%26id%3d74,https://www.openstreetmap.org/way/126672576,approximate_street_point,official_listing,2026-09-19,官方名冊有夜市；座標為 Nominatim 回傳之所在道路代表點，不代表攤集範圍中心或入口，暫不產生近鄰關聯。
NM040,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=69&chk=48372f2d-c979-458b-a32e-b6ef7d775c15&param=pn%3d2%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0039,published_point,official_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM041,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=63&chk=db7c8652-b0d0-4f74-8ec6-0bcd917abc01&param=pn%3d1%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0029,published_point,official_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM042,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=64&chk=a44e35b2-4ab3-4b83-b55f-f3b16a8d59d8&param=pn%3d1%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0028,published_point,official_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM043,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=54&chk=431b0cc8-5ed7-414d-9b08-448a8077d7f9&param=pn%3d1%26mid%3d26%26id%3d74,https://newtaipei.travel/zh-tw/Attractions/Detail/107161,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM044,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=61&chk=0d97d351-1ac1-4585-8e7d-3594e8735fcc&param=pn%3d2%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-8724,published_point,official_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM045,https://tonightmarkets.com/night-markets/night-market-0047,https://tonightmarkets.com/night-markets/night-market-0047,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM046,https://newtaipei.travel/zh-tw/Attractions/Detail/402296,https://newtaipei.travel/zh-tw/Attractions/Detail/402296,official_representative_point,official_listing,2026-09-19,官方觀光景點代表點；非實測入口。
NM047,https://tonightmarkets.com/night-markets/night-market-0049,https://tonightmarkets.com/night-markets/night-market-0049,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM048,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=71&chk=8e33057f-f05b-47e4-9546-aad2fa14b504&param=pn%3d2%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0034,location_needs_review,official_listing,2026-09-19,官方營業範圍與民間地圖的地址版本不同；座標保留供查核，暫不產生捷運近鄰關聯。
NM049,https://tonightmarkets.com/night-markets/night-market-0035,https://tonightmarkets.com/night-markets/night-market-0035,published_point,community_listing,2026-09-19,民間目錄列載；未實地確認營業。
NM050,https://www.newtaipeimarket.ntpc.gov.tw/tc/mapDetail.aspx?mid=26&id=65&chk=37241eba-c835-4a84-a899-a5399320ba1b&param=pn%3d2%26mid%3d26%26id%3d74,https://tonightmarkets.com/night-markets/night-market-0033,published_point,official_listing,2026-09-19,民間目錄列載；未實地確認營業。
