market_id,stop_id,walking_distance_m
NM001,BR11,466
NM001,G16,466
NM002,O10,427
NM002,O11,728
NM002,R13,728
NM004,G07,296
NM005,BL19,661
NM005,BL20,915
NM005,R01,358
NM006,BR17,461
NM006,BR18,770
NM007,R18,806
NM007,R19,364
NM008,R15,535
NM008,R16,741
NM010,R14,541
NM011,G14,773
NM011,O12,973
NM011,R11,773
NM011,R12,673
NM012,O12,482
NM013,G08,606
NM013,G09,806
NM013,O05,806
NM014,BR07,907
NM014,R04,603
NM015,G04,973
NM015,G05,361
NM016,G19,315
NM017,BL10,470
NM018,BL10,435
NM019,BL10,550
NM020,BL10,584
NM020,BL11,912
NM020,G12,912
NM023,O13,95
NM023,O50,939
NM025,O01,181
NM025,O02,881
NM033,O18,575
NM038,BL06,764
NM043,O03,881
NM043,O04,875
NM045,BL23,933
NM045,BR24,933
NM050,R28,383
NM055,O52,994
NM055,O53,451
