market_id,market_name,lat,lon
NM001,遼寧街夜市,25.0493611,121.5422222
NM002,雙城街夜市,25.0644444,121.5243333
NM003,南機場觀光夜市,25.0294722,121.5059167
NM004,臺北市公館觀光夜市,25.0132660,121.5352310
NM005,林口街夜市,25.0378950,121.5793420
NM006,737夜市/737巷美食街,25.0797380,121.5786620
NM007,石牌夜市/石牌商城,25.1159167,121.5170556
NM008,士林夜市,25.0884970,121.5243500
NM009,社子夜市,25.0877820,121.5090940
NM010,大龍街夜市,25.0714660,121.5159010
NM011,寧夏夜市,25.0558056,121.5152778
NM012,延三夜市,25.0657778,121.5110556
NM013,師大夜市,25.0245040,121.5293120
NM014,臨江街觀光夜市,25.0300556,121.5552500
NM015,景美夜市,24.9906730,121.5417190
NM016,饒河街觀光夜市,25.0506667,121.5750833
NM017,廣州街觀光夜市,25.0370000,121.4976111
NM018,梧州街觀光夜市,25.0365278,121.4975833
NM019,華西街夜市,25.0383056,121.4983889
NM020,西昌街觀光夜市,25.0404167,121.5006944
NM021,三峽中華路夜市,24.9327720,121.3749495
NM022,三芝夜市,25.2600350,121.4936020
NM023,三和夜市,25.0635700,121.5011200
NM024,文化北路夜市,25.0638892,121.4994675
NM025,中和興南夜市,24.9899700,121.5107300
NM026,新北中和週六小夜市,24.9987700,121.4684832
NM027,民安街夜市,24.9997130,121.4781931
NM028,御史路夜市,25.0899610,121.4423910
NM029,西雲路夜市,25.0939080,121.4450960
NM030,八里廖添丁廟夜市,25.1436000,121.3958480
NM031,五股工業區夜市,25.0662690,121.4598410
NM032,四維夜市,25.0203097,121.4218487
NM033,新莊廟街夜市,25.0336400,121.4508200
NM034,福壽街夜市,25.0491682,121.4581337
NM035,西盛夜市,25.0167950,121.4280370
NM036,板橋新興夜市,25.0067278,121.4555906
NM037,板橋裕民夜市,25.0283260,121.4607930
NM038,湳雅夜市,25.0066500,121.4541500
NM039,莒光路夜市,25.0241139,121.4715898
NM040,林口夜市,25.0793780,121.3873680
NM041,樹林夜市,24.9908150,121.4259880
NM042,樹林興仁花園夜市,25.0031640,121.4154280
NM043,樂華夜市,25.0084200,121.5117300
NM044,樟樹灣夜市,25.0649572,121.6396169
NM045,汐止弘道街夜市,25.0486050,121.6169030
NM046,汐止觀光夜市,25.0657700,121.6573900
NM047,長興街福德祠夜市,25.0796740,121.6709750
NM048,淡水沙崙夜市,25.1853270,121.4241090
NM049,淡水義山夜市（集應廟夜市）,25.2043670,121.4495360
NM050,淡水英專夜市,25.1690100,121.4453440
NM051,深坑慈聖夜市,25.0049640,121.6237350
NM052,四腳亭吉安宮夜市,25.1030900,121.7637320
NM053,五華夜市,25.0899781,121.4848795
NM054,蘆洲信義路夜市,25.0794225,121.4744421
NM055,蘆洲廟口夜市,25.0833600,121.4716400
NM056,貢寮澳底夜市,25.0546290,121.9266840
NM057,金山夜市,25.2255990,121.6326840
NM058,尖山路國中街口-假日夜市,24.9448319,121.3418956
NM059,鶯歌南雅夜市,24.9541001,121.3481273
NM060,鶯歌夜市,24.9568760,121.3402500
NM061,鶯歌龍鳳夜市,24.9731670,121.3330270
