路線名稱,起點站 (Source),終點站 (Target),預估時間_分鐘 (Time),說明
88,福德市場,聖功醫院,2,
88,聖功醫院,道明中學,2,
88,道明中學,凱旋路口,2,
88,凱旋路口,凱國路口,2,
88,凱國路口,建國二路,2,
88,建國二路,鐵路新村,2,
88,鐵路新村,建國忠孝路口,2,
88,建國忠孝路口,建國林森路口,2,
88,建國林森路口,高雄車站(建國路),2,
88,高雄車站(建國路),高雄中學,2,
88,高雄中學,三鳳中街,2,
88,三鳳中街,三民國小,2,
88,三民國小,建國三路,2,
88,建國三路,河濱國小,2,
88,河濱國小,北斗街口,2,
88,北斗街口,鹽埕分局,2,
88,鹽埕分局,大公路口(建國四路),2,
,,,,
r31,建國林森路口,高雄車站(建國路),2,
r31,高雄車站(建國路),高雄中學,2,
r31,高雄中學,臺鐵三塊厝站(自立路),2,
r31,臺鐵三塊厝站(自立路),遼寧街口(自立路),2,
r31,遼寧街口(自立路),自立十全路口,2,
r31,自立十全路口,察哈爾街口,2,
r31,察哈爾街口,十全國小(察哈爾二街),2,
r31,十全國小(察哈爾二街),察哈爾二街(捷運後驛站),2,
r31,察哈爾二街(捷運後驛站),捷運後驛站,2,
r31,捷運後驛站,北平一街一,2,
,,,,
r30,建國林森路口,高雄車站(建國路),2,
r30,高雄車站(建國路),高雄中學,2,
r30,高雄中學,臺鐵三塊厝站(自立路),2,
r30,臺鐵三塊厝站(自立路),遼寧街口(自立路),2,
r30,遼寧街口(自立路),自立十全路口,2,
r30,自立十全路口,察哈爾街口,2,
r30,察哈爾街口,十全國小(察哈爾二街),2,
r30,十全國小(察哈爾二街),察哈爾二街(捷運後驛站),2,
r30,察哈爾二街(捷運後驛站),捷運後驛站,2,
r30,捷運後驛站,北平一街一,2,
,,,,
82,七賢一路,民族路口(七賢一路),2,
82,民族路口(七賢一路),錦田路口(七賢一路),2,
82,錦田路口(七賢一路),復興一路口,2,
82,復興一路口,七賢國小,2,
82,七賢國小,高雄車站(建國路),2,
82,高雄車站(建國路),高雄中學,2,
82,高雄中學,三鳳中街,2,
82,三鳳中街,三民市場,2,
82,三民市場,七賢二路口(中華三路),2,
82,七賢二路口(中華三路),自強路口,2,
82,自強路口,成功一路口,2,
,,,,
72,七賢二路,自立路口,2,
72,自立路口,高雄中學,2,
72,高雄中學,高雄車站(建國路),2,
72,高雄車站(建國路),建國林森路口,2,
72,建國林森路口,建國忠孝路口,2,
72,建國忠孝路口,鐵路新村,2,
