stop_id,destination_stop_id,first_departure_time,last_departure_time,last_departure_day_offset,source_issue
BL01,BL23,06:00,00:00,1,
BL02,BL01,06:00,01:12,1,
BL02,BL23,06:03,00:03,1,
BL03,BL01,06:05,01:10,1,
BL03,BL23,06:05,00:05,1,
BL04,BL01,06:03,01:08,1,
BL04,BL23,06:07,00:07,1,
BL05,BL01,06:00,01:05,1,
BL05,BL23,06:00,00:10,1,
BL06,BL01,06:05,01:03,1,
BL06,BL23,06:02,00:12,1,
BL07,BL01,06:04,01:01,1,
BL07,BL23,06:03,00:36,1,
BL08,BL01,06:02,00:59,1,
BL08,BL23,06:00,00:39,1,
BL09,BL01,06:00,00:58,1,
BL09,BL23,06:02,00:40,1,
BL10,BL01,06:05,00:54,1,
BL10,BL23,06:05,00:44,1,
BL11,BL01,06:03,00:52,1,
BL11,BL23,06:08,00:46,1,
BL12,BL01,06:00,00:49,1,
BL12,BL23,06:00,00:49,1,
BL13,BL01,06:07,00:48,1,
BL13,BL23,06:02,00:50,1,
BL14,BL01,06:05,00:46,1,
BL14,BL23,06:04,00:52,1,
BL15,BL01,06:03,00:44,1,
BL15,BL23,06:00,00:54,1,
BL16,BL01,06:02,00:24,1,
BL16,BL23,06:01,00:56,1,
BL17,BL01,06:00,00:22,1,
BL17,BL23,06:03,00:57,1,
BL18,BL01,06:03,00:21,1,
BL18,BL23,06:00,00:59,1,
BL19,BL01,06:02,00:19,1,
BL19,BL23,06:02,01:01,1,
BL20,BL01,06:00,00:17,1,
BL20,BL23,06:04,01:03,1,
BL21,BL01,06:04,00:15,1,
BL21,BL23,06:06,01:05,1,
BL22,BL01,06:02,00:12,1,
BL22,BL23,06:00,01:07,1,
BL23,BL01,06:00,00:00,1,
BR01,BR24,06:00,00:00,1,
BR02,BR01,06:05,00:53,1,
BR02,BR24,06:01,00:01,1,
BR03,BR01,06:04,00:52,1,
BR03,BR24,06:02,00:02,1,
BR04,BR01,06:02,00:49,1,
BR04,BR24,06:04,00:05,1,
BR05,BR01,06:00,00:47,1,
BR05,BR24,06:00,00:07,1,
BR06,BR01,06:04,00:44,1,
BR06,BR24,06:02,00:10,1,
BR07,BR01,06:02,00:42,1,
BR07,BR24,06:04,00:12,1,
BR08,BR01,06:00,00:39,1,
BR08,BR24,06:00,00:15,1,
BR09,BR01,06:05,00:37,1,
BR09,BR24,06:01,00:33,1,
BR10,BR01,06:03,00:35,1,
BR10,BR24,06:03,00:35,1,
BR11,BR01,06:01,00:32,1,
BR11,BR24,06:05,00:38,1,
BR12,BR01,06:00,00:30,1,
BR12,BR24,06:00,00:40,1,
BR13,BR01,06:03,00:27,1,
BR13,BR24,06:03,00:43,1,
BR14,BR01,06:00,00:23,1,
BR14,BR24,06:00,00:46,1,
BR15,BR01,06:03,00:20,1,
BR15,BR24,06:02,00:49,1,
BR16,BR01,06:01,00:18,1,
BR16,BR24,06:04,00:52,1,
BR17,BR01,06:00,00:15,1,
BR17,BR24,06:00,00:54,1,
BR18,BR01,06:05,00:13,1,
BR18,BR24,06:01,00:56,1,
BR19,BR01,06:04,00:11,1,
BR19,BR24,06:03,00:58,1,
BR20,BR01,06:02,00:09,1,
BR20,BR24,06:04,01:00,1,
BR21,BR01,06:00,00:05,1,
BR21,BR24,06:00,01:03,1,
BR22,BR01,06:03,00:03,1,
BR22,BR24,06:01,01:05,1,
BR23,BR01,06:01,00:01,1,
BR23,BR24,06:03,01:07,1,
BR24,BR01,06:00,00:00,1,
G01,G19,06:00,00:00,1,
G02,G01,06:02,01:09,1,
G02,G19,06:02,00:02,1,
G03,G01,06:00,01:07,1,
G03,G03,06:03,23:57,0,origin_equals_destination
