edge_id,from_stop_id,to_stop_id,travel_time_s
E001,BR01,BR02,67
E002,BR02,BR03,47
E003,BR03,BR04,99
E004,BR04,BR05,106
E005,BR05,BR06,141
E006,BR06,BR07,72
E007,BR07,BR08,122
E008,BR08,BR09,69
E009,BR09,BR10,67
E010,BR10,BR11,86
E011,BR11,BR12,66
E012,BR12,BR13,162
E013,BR13,BR14,172
E014,BR14,BR15,104
E015,BR15,BR16,110
E016,BR16,BR17,65
E017,BR17,BR18,72
E018,BR18,BR19,78
E019,BR19,BR20,71
E020,BR20,BR21,121
E021,BR21,BR22,78
E022,BR22,BR23,85
E023,BR23,BR24,78
E024,BR24,BR23,78
E025,BR23,BR22,85
E026,BR22,BR21,78
E027,BR21,BR20,121
E028,BR20,BR19,71
E029,BR19,BR18,78
E030,BR18,BR17,72
E031,BR17,BR16,65
E032,BR16,BR15,110
E033,BR15,BR14,104
E034,BR14,BR13,172
E035,BR13,BR12,162
E036,BR12,BR11,66
E037,BR11,BR10,86
E038,BR10,BR09,67
E039,BR09,BR08,69
E040,BR08,BR07,122
E041,BR07,BR06,72
E042,BR06,BR05,141
E043,BR05,BR04,106
E044,BR04,BR03,99
E045,BR03,BR02,47
E046,BR02,BR01,67
E047,R01,R02,150
E048,R02,R03,69
E049,R03,R04,83
E050,R04,R05,90
E051,R05,R06,74
E052,R06,R07,75
E053,R07,R08,175
E054,R08,R09,95
E055,R09,R10,67
E056,R10,R11,68
E057,R11,R12,62
E058,R12,R13,60
E059,R13,R14,90
E060,R14,R15,114
E061,R15,R16,101
E062,R16,R17,94
E063,R17,R18,79
E064,R18,R19,63
E065,R19,R20,109
E066,R20,R21,75
E067,R21,R22,91
E068,R22,R23,135
E069,R23,R24,117
E070,R24,R25,80
E071,R25,R26,150
E072,R26,R27,142
E073,R27,R28,175
E074,R28,R27,175
E075,R27,R26,142
E076,R26,R25,150
E077,R25,R24,80
E078,R24,R23,117
E079,R23,R22,135
E080,R22,R21,91
E081,R21,R20,75
E082,R20,R19,109
E083,R19,R18,63
E084,R18,R17,79
E085,R17,R16,94
E086,R16,R15,101
E087,R15,R14,114
E088,R14,R13,90
E089,R13,R12,60
E090,R12,R11,62
E091,R11,R10,68
E092,R10,R09,67
E093,R09,R08,95
E094,R08,R07,175
E095,R07,R06,75
E096,R06,R05,74
E097,R05,R04,90
E098,R04,R03,83
E099,R03,R02,69
E100,R02,R01,150
E101,R22,R22A,157
E102,R22A,R22,157
E103,G01,G02,111
E104,G02,G03,81
E105,G03,G04,78
E106,G04,G05,92
E107,G05,G06,89
E108,G06,G07,122
E109,G07,G08,79
E110,G08,G09,85
E111,G09,G10,87
E112,G10,G11,76
E113,G11,G12,83
E114,G12,G13,86
E115,G13,G14,116
E116,G14,G15,106
E117,G15,G16,92
E118,G16,G17,84
E119,G17,G18,102
E120,G18,G19,138
E121,G19,G18,138
E122,G18,G17,102
E123,G17,G16,84
E124,G16,G15,92
E125,G15,G14,106
E126,G14,G13,116
E127,G13,G12,86
E128,G12,G11,83
E129,G11,G10,76
E130,G10,G09,87
E131,G09,G08,85
E132,G08,G07,79
E133,G07,G06,122
E134,G06,G05,89
E135,G05,G04,92
E136,G04,G03,78
E137,G03,G02,81
E138,G02,G01,111
E139,G03,G03A,203
E140,G03A,G03,203
E141,O01,O02,97
E142,O02,O03,90
E143,O03,O04,103
E144,O04,O05,187
E145,O05,O06,208
E146,O06,O07,136
E147,O07,O08,102
E148,O08,O09,78
E149,O09,O10,96
E150,O10,O11,72
E151,O11,O12,72
E152,O12,O13,127
E153,O13,O14,97
E154,O14,O15,84
E155,O15,O16,142
E156,O16,O17,108
E157,O17,O18,94
E158,O18,O19,137
E159,O19,O20,113
E160,O20,O21,168
E161,O21,O20,168
E162,O20,O19,113
E163,O19,O18,137
E164,O18,O17,94
E165,O17,O16,108
E166,O16,O15,142
E167,O15,O14,84
E168,O14,O13,97
E169,O13,O12,127
E170,O12,O11,72
E171,O11,O10,72
E172,O10,O09,96
E173,O09,O08,78
E174,O08,O07,102
E175,O07,O06,136
E176,O06,O05,208
E177,O05,O04,187
E178,O04,O03,103
E179,O03,O02,90
E180,O02,O01,97
E181,O12,O50,151
E182,O50,O51,107
E183,O51,O52,82
E184,O52,O53,92
E185,O53,O54,111
E186,O54,O53,111
E187,O53,O52,92
E188,O52,O51,82
E189,O51,O50,107
E190,O50,O12,151
E191,BL01,BL02,180
E192,BL02,BL03,95
E193,BL03,BL04,106
E194,BL04,BL05,142
E195,BL05,BL06,102
E196,BL06,BL07,67
E197,BL07,BL08,107
E198,BL08,BL09,77
E199,BL09,BL10,192
E200,BL10,BL11,110
E201,BL11,BL12,120
E202,BL12,BL13,66
E203,BL13,BL14,81
E204,BL14,BL15,90
E205,BL15,BL16,65
E206,BL16,BL17,71
E207,BL17,BL18,77
E208,BL18,BL19,87
E209,BL19,BL20,76
E210,BL20,BL21,107
E211,BL21,BL22,109
E212,BL22,BL23,112
E213,BL23,BL22,112
E214,BL22,BL21,109
E215,BL21,BL20,107
E216,BL20,BL19,76
E217,BL19,BL18,87
E218,BL18,BL17,77
E219,BL17,BL16,71
E220,BL16,BL15,65
E221,BL15,BL14,90
E222,BL14,BL13,81
E223,BL13,BL12,66
E224,BL12,BL11,120
E225,BL11,BL10,110
E226,BL10,BL09,192
E227,BL09,BL08,77
E228,BL08,BL07,107
E229,BL07,BL06,67
E230,BL06,BL05,102
E231,BL05,BL04,142
E232,BL04,BL03,106
E233,BL03,BL02,95
E234,BL02,BL01,180
