route_id,direction,stop_sequence,stop_id
BR-1,0,1,BR01
BR-1,0,2,BR02
BR-1,0,3,BR03
BR-1,0,4,BR04
BR-1,0,5,BR05
BR-1,0,6,BR06
BR-1,0,7,BR07
BR-1,0,8,BR08
BR-1,0,9,BR09
BR-1,0,10,BR10
BR-1,0,11,BR11
BR-1,0,12,BR12
BR-1,0,13,BR13
BR-1,0,14,BR14
BR-1,0,15,BR15
BR-1,0,16,BR16
BR-1,0,17,BR17
BR-1,0,18,BR18
BR-1,0,19,BR19
BR-1,0,20,BR20
BR-1,0,21,BR21
BR-1,0,22,BR22
BR-1,0,23,BR23
BR-1,0,24,BR24
BR-1,1,1,BR24
BR-1,1,2,BR23
BR-1,1,3,BR22
BR-1,1,4,BR21
BR-1,1,5,BR20
BR-1,1,6,BR19
BR-1,1,7,BR18
BR-1,1,8,BR17
BR-1,1,9,BR16
BR-1,1,10,BR15
BR-1,1,11,BR14
BR-1,1,12,BR13
BR-1,1,13,BR12
BR-1,1,14,BR11
BR-1,1,15,BR10
BR-1,1,16,BR09
BR-1,1,17,BR08
BR-1,1,18,BR07
BR-1,1,19,BR06
BR-1,1,20,BR05
BR-1,1,21,BR04
BR-1,1,22,BR03
BR-1,1,23,BR02
BR-1,1,24,BR01
R-1,0,1,R01
R-1,0,2,R02
R-1,0,3,R03
R-1,0,4,R04
R-1,0,5,R05
R-1,0,6,R06
R-1,0,7,R07
R-1,0,8,R08
R-1,0,9,R09
R-1,0,10,R10
R-1,0,11,R11
R-1,0,12,R12
R-1,0,13,R13
R-1,0,14,R14
R-1,0,15,R15
R-1,0,16,R16
R-1,0,17,R17
R-1,0,18,R18
R-1,0,19,R19
R-1,0,20,R20
R-1,0,21,R21
R-1,0,22,R22
R-1,0,23,R23
R-1,0,24,R24
R-1,0,25,R25
R-1,0,26,R26
R-1,0,27,R27
R-1,0,28,R28
R-1,1,1,R28
R-1,1,2,R27
R-1,1,3,R26
R-1,1,4,R25
R-1,1,5,R24
R-1,1,6,R23
R-1,1,7,R22
R-1,1,8,R21
R-1,1,9,R20
R-1,1,10,R19
R-1,1,11,R18
R-1,1,12,R17
R-1,1,13,R16
R-1,1,14,R15
R-1,1,15,R14
R-1,1,16,R13
R-1,1,17,R12
R-1,1,18,R11
R-1,1,19,R10
R-1,1,20,R09
R-1,1,21,R08
R-1,1,22,R07
R-1,1,23,R06
R-1,1,24,R05
R-1,1,25,R04
R-1,1,26,R03
R-1,1,27,R02
R-1,1,28,R01
R-2,0,1,R05
R-2,0,2,R06
R-2,0,3,R07
R-2,0,4,R08
R-2,0,5,R09
R-2,0,6,R10
R-2,0,7,R11
R-2,0,8,R12
R-2,0,9,R13
R-2,0,10,R14
R-2,0,11,R15
R-2,0,12,R16
R-2,0,13,R17
R-2,0,14,R18
R-2,0,15,R19
R-2,0,16,R20
R-2,0,17,R21
R-2,0,18,R22
R-2,1,1,R22
R-2,1,2,R21
R-2,1,3,R20
R-2,1,4,R19
R-2,1,5,R18
R-2,1,6,R17
R-2,1,7,R16
R-2,1,8,R15
R-2,1,9,R14
R-2,1,10,R13
R-2,1,11,R12
R-2,1,12,R11
R-2,1,13,R10
R-2,1,14,R09
R-2,1,15,R08
R-2,1,16,R07
R-2,1,17,R06
R-2,1,18,R05
R-3,0,1,R22
R-3,0,2,R22A
R-3,1,1,R22A
R-3,1,2,R22
G-1,0,1,G01
G-1,0,2,G02
G-1,0,3,G03
G-1,0,4,G04
G-1,0,5,G05
G-1,0,6,G06
G-1,0,7,G07
G-1,0,8,G08
G-1,0,9,G09
G-1,0,10,G10
G-1,0,11,G11
G-1,0,12,G12
G-1,0,13,G13
G-1,0,14,G14
G-1,0,15,G15
G-1,0,16,G16
G-1,0,17,G17
G-1,0,18,G18
G-1,0,19,G19
G-1,1,1,G19
G-1,1,2,G18
G-1,1,3,G17
G-1,1,4,G16
G-1,1,5,G15
G-1,1,6,G14
G-1,1,7,G13
G-1,1,8,G12
G-1,1,9,G11
G-1,1,10,G10
G-1,1,11,G09
G-1,1,12,G08
G-1,1,13,G07
G-1,1,14,G06
G-1,1,15,G05
G-1,1,16,G04
G-1,1,17,G03
G-1,1,18,G02
G-1,1,19,G01
G-2,0,1,G08
G-2,0,2,G09
G-2,0,3,G10
G-2,0,4,G11
G-2,0,5,G12
G-2,0,6,G13
G-2,0,7,G14
G-2,0,8,G15
G-2,0,9,G16
G-2,0,10,G17
G-2,0,11,G18
G-2,0,12,G19
G-2,1,1,G19
G-2,1,2,G18
G-2,1,3,G17
G-2,1,4,G16
G-2,1,5,G15
G-2,1,6,G14
G-2,1,7,G13
G-2,1,8,G12
G-2,1,9,G11
G-2,1,10,G10
G-2,1,11,G09
