stop_id,stop_name,lat,lon,line_id
BL01,頂埔,24.96012,121.4205,BL
BL02,永寧,24.96682,121.43613,BL
BL03,土城,24.97313,121.44432,BL
BL04,海山,24.985305,121.44873,BL
BL05,亞東醫院,24.99828,121.452465,BL
BL06,府中,25.008465,121.459276,BL
BL07,板橋,25.013825,121.462305,BL
BL08,新埔,25.02327,121.468055,BL
BL09,江子翠,25.030265,121.47257,BL
BL10,龍山寺,25.03528,121.500325,BL
BL11,西門,25.042025,121.508175,BL
BL12,台北車站,25.04631,121.517415,BL
BL13,善導寺,25.04468,121.523885,BL
BL14,忠孝新生,25.042498,121.53321,BL
BL15,忠孝復興,25.041749,121.545026,BL
BL16,忠孝敦化,25.041505,121.55045,BL
BL17,國父紀念館,25.04137,121.557815,BL
BL18,市政府,25.041135,121.565685,BL
BL19,永春,25.040855,121.5762,BL
BL20,後山埤,25.044715,121.58227,BL
BL21,昆陽,25.0504585,121.5932285,BL
BL22,南港,25.052035,121.60697,BL
BL23,南港展覽館,25.054919,121.616861,BL
BR01,動物園,24.998205,121.579501,BR
BR02,木柵,24.99824,121.573127,BR
BR03,萬芳社區,24.99857,121.568088,BR
BR04,萬芳醫院,24.99932,121.558092,BR
BR05,辛亥,25.005455,121.5570455,BR
BR06,麟光,25.018495,121.5588335,BR
BR07,六張犁,25.02381,121.55302,BR
BR08,科技大樓,25.02612,121.5434615,BR
BR09,大安,25.033311,121.54237,BR
BR10,忠孝復興,25.041749,121.545026,BR
BR11,南京復興,25.052044,121.544303,BR
BR12,中山國中,25.06085,121.544215,BR
BR13,松山機場,25.0629075,121.55201,BR
BR14,大直,25.07943,121.54679,BR
BR15,劍南路,25.08483,121.5555825,BR
BR16,西湖,25.08216,121.567227,BR
BR17,港墘,25.08007,121.57516,BR
BR18,文德,25.078455,121.5849995,BR
BR19,內湖,25.083675,121.594363,BR
BR20,大湖公園,25.083805,121.602214,BR
BR21,葫洲,25.07271,121.6071455,BR
BR22,東湖,25.067455,121.611535,BR
BR23,南港軟體園區,25.05992,121.615,BR
BR24,南港展覽館,25.054919,121.616861,BR
G01,新店,24.95761,121.53746,G
G02,新店區公所,24.96744,121.5413,G
G03,七張,24.97545,121.542985,G
G03A,小碧潭,24.97188,121.53058,G
G04,大坪林,24.9827205,121.54134,G
G05,景美,24.992824,121.5406975,G
G06,萬隆,25.001978,121.539008,G
G07,公館,25.014781,121.534358,G
G08,台電大樓,25.020733,121.5281435,G
G09,古亭,25.026373,121.522868,G
G10,中正紀念堂,25.032767,121.518273,G
G11,小南門,25.035585,121.51088,G
G12,西門,25.042025,121.508175,G
G13,北門,25.049554,121.510184,G
G14,中山,25.052621,121.520364,G
G15,松江南京,25.052693,121.53285,G
G16,南京復興,25.052044,121.544303,G
G17,台北小巨蛋,25.05152,121.552549,G
G18,南京三民,25.051588,121.56471,G
G19,松山,25.050118,121.577706,G
O01,南勢角,24.990065,121.509237,O
O02,景安,24.99392,121.505114,O
O03,永安市場,25.002895,121.511225,O
O04,頂溪,25.013858,121.515462,O
O05,古亭,25.026373,121.522868,O
O06,東門,25.033894,121.528766,O
O07,忠孝新生,25.042498,121.53321,O
O08,松江南京,25.052693,121.53285,O
O09,行天宮,25.05924,121.53315,O
O10,中山國小,25.062665,121.526609,O
O11,民權西路,25.06235,121.519585,O
O12,大橋頭,25.06322,121.5130035,O
O13,台北橋,25.063075,121.500575,O
O14,菜寮,25.059451,121.491421,O
O15,三重,25.05571,121.48422,O
O16,先嗇宮,25.04632,121.47165,O
O17,頭前庄,25.039735,121.461655,O
O18,新莊,25.03608,121.45218,O
O19,輔大,25.03279,121.435735,O
O20,丹鳳,25.029073,121.422422,O
O21,迴龍,25.022107,121.411757,O
O50,三重國小,25.070275,121.49701,O
O51,三和國中,25.07646,121.486795,O
O52,徐匯中學,25.080485,121.479945,O
O53,三民高中,25.085425,121.473365,O
O54,蘆洲,25.09152,121.46471,O
R01,廣慈/奉天宮,25.0375827,121.581789,R
R02,象山,25.032395,121.570116,R
R03,台北101/世貿,25.032865,121.563667,R
R04,信義安和,25.033015,121.552326,R
R05,大安,25.033311,121.54237,R
R06,大安森林公園,25.033225,121.536151,R
R07,東門,25.033894,121.528766,R
R08,中正紀念堂,25.032767,121.518273,R
R09,台大醫院,25.041399,121.51602,R
R10,台北車站,25.04631,121.517415,R
R11,中山,25.052621,121.520364,R
R12,雙連,25.057575,121.520685,R
R13,民權西路,25.06235,121.519585,R
R14,圓山,25.0714085,121.520074,R
R15,劍潭,25.0842015,121.5249545,R
R16,士林,25.0934925,121.52623,R
R17,芝山,25.102718,121.522546,R
R18,明德,25.109815,121.518785,R
R19,石牌,25.114455,121.515572,R
R20,唭哩岸,25.1208515,121.506234,R
R21,奇岩,25.1254705,121.50114,R
R22,北投,25.1318185,121.4986475,R
R22A,新北投,25.1369315,121.5025955,R
R23,復興崗,25.137497,121.485456,R
R24,忠義,25.1309225,121.4732975,R
R25,關渡,25.12551,121.467,R
R26,竹圍,25.1369,121.45955,R
R27,紅樹林,25.15399,121.4588,R
R28,淡水,25.167745,121.445805,R
