from_stop_id,to_stop_id,transfer_time_s,station_name
R22,R22A,180,捷運北投站
R22A,R22,180,捷運北投站
O11,R13,180,捷運民權西路站
R13,O11,180,捷運民權西路站
BL14,O07,120,捷運忠孝新生站
O07,BL14,120,捷運忠孝新生站
BL15,BR10,300,捷運忠孝復興站
BR10,BL15,300,捷運忠孝復興站
BL12,R10,240,捷運台北車站
R10,BL12,240,捷運台北車站
G10,R08,120,捷運中正紀念堂站
R08,G10,120,捷運中正紀念堂站
G09,O05,120,捷運古亭站
O05,G09,120,捷運古亭站
G03,G03A,180,捷運七張站
G03A,G03,180,捷運七張站
BL23,BR24,300,捷運南港展覽館站
BR24,BL23,300,捷運南港展覽館站
BL11,G12,120,捷運西門站
G12,BL11,120,捷運西門站
O12,O12,60,捷運大橋頭站
O06,R07,120,捷運東門站
R07,O06,120,捷運東門站
BR09,R05,300,捷運大安站
R05,BR09,300,捷運大安站
BR11,G16,300,捷運南京復興站
G16,BR11,300,捷運南京復興站
G15,O08,120,捷運松江南京站
O08,G15,120,捷運松江南京站
G14,R11,180,捷運中山站
R11,G14,180,捷運中山站
O02,Y11,360,捷運景安站
Y11,O02,360,捷運景安站
BL07,Y16,660,捷運板橋站
Y16,BL07,660,捷運板橋站
BL08,Y17,540,捷運新埔站
Y17,BL08,540,捷運新埔民生站
O17,Y18,360,捷運頭前庄站
Y18,O17,360,捷運頭前庄站
