transfer_id,from_stop_id,to_stop_id
T_G14_R11,G14,R11
T_R11_G14,R11,G14
T_G10_R08,G10,R08
T_R08_G10,R08,G10
T_BR11_G16,BR11,G16
T_G16_BR11,G16,BR11
T_BL23_BR24,BL23,BR24
T_BR24_BL23,BR24,BL23
T_G09_O05,G09,O05
T_O05_G09,O05,G09
T_BL12_R10,BL12,R10
T_R10_BL12,R10,BL12
T_BR09_R05,BR09,R05
T_R05_BR09,R05,BR09
T_BL15_BR10,BL15,BR10
T_BR10_BL15,BR10,BL15
T_BL14_O07,BL14,O07
T_O07_BL14,O07,BL14
T_O06_R07,O06,R07
T_R07_O06,R07,O06
T_G15_O08,G15,O08
T_O08_G15,O08,G15
T_O11_R13,O11,R13
T_R13_O11,R13,O11
T_BL11_G12,BL11,G12
T_G12_BL11,G12,BL11
